Coaster_Name,Location,Manufacturer,Type_Main,Year_Introduced,Latitude,Longitude,Speed_mph,Height_ft,Inversions,Gforce,Opening_Date
Afterburner (Fun Spot),Fun Spot Amusement Park & Zoo,Arrow Development,Steel,1991,41.6769,-85.0312,45,87,2,4.0,1991-01-01
Anaconda (roller coaster),Kings Dominion,Arrow Dynamics,Steel,1991,37.8392,-77.4402,50,101,4,5.1,1991-03-23
Pegasus (Efteling),Efteling,Dinn Corporation,Wood,1991,51.6469,5.0519,34,59,0,3.5,1991-07-01
Psyclone (roller coaster),Six Flags Magic Mountain,Dinn Corporation,Wood,1991,34.421,-118.6003,50,100,0,3.0,1991-03-23
Sidewinder (Hersheypark),Hersheypark,Vekoma,Steel,1991,40.2899,-76.6538,47,93,6,5.2,1991-05-11
Steel Phantom,Kennywood,D. H. Morgan Manufacturing,Steel,1991,40.389,-79.866,85,194,0,3.5,1991-05-10
Toboggan (Lakemont Park),Lakemont Park,Chance Rides,Steel,1991,40.4712,-78.3961,46,90,0,3.394985644677245,1991-01-01
Turbo Mountain,Adventure World,Anton Schwarzkopf,Steel,1991,-32.0948,115.8164,35,39,0,2.892720571564876,1991-01-01
The Ultimate (roller coaster),Lightwater Valley,British Rail Engineering Limited,Steel,1991,54.1739,-1.5687,50,101,0,3.6783517603144276,1991-07-17
Vortex (Canada's Wonderland),Canada's Wonderland,Arrow Dynamics,Steel,1991,43.8419,-79.5435,55,91,0,3.6573635253885186,1991-05-12
Vortex (Great America),California's Great America,Bolliger & Mabillard,Steel,1991,37.3967,-121.9732,45,86,2,3.5230117550484366,1991-03-09
Wildcat (Frontier City),Other,National Amusement Devices,Wood,1991,38.57845884576578,-43.61375866203605,46,90,0,3.4224965586600327,1999-01-01
Batman: The Ride,Other,Bolliger & Mabillard,Steel,1992,38.29722583704823,-40.14643062874802,50,101,5,4.0,1999-01-01
Blue Hawk (roller coaster),Other,Vekoma,Steel,1992,38.247498887506154,-40.082570951983485,52,106,5,4.0,1999-01-01
Cosmic Coaster (Valleyfair),Other,Zamperla,Steel,1992,39.35408466732151,-44.842467487108024,15,7,0,2.39823809709511,1999-01-01
Desert Storm (roller coaster),Castles N' Coasters,Hopkins Rides,Steel,1992,33.5718,-112.1188,49,99,2,3.6581215343087123,1992-01-01
Drachen Fire,Busch Gardens Williamsburg,Arrow Dynamics,Steel,1992,37.2306,-76.6444,60,127,5,4.408485108951158,1992-04-04
Dragon Coaster (Dorney Park),Other,Zamperla,Steel,1992,39.35408466732151,-44.842467487108024,15,7,0,2.39823809709511,1999-01-01
Eagle Fortress,Everland,Arrow Dynamics,Steel,1992,38.69884415091096,-43.454657889584496,40,74,0,3.2156633207295826,1992-09-08
The Great Pumpkin Coaster,"Mason, Ohio, United States",Vekoma,Other,1992,39.3448,-84.2686,46,91,0,3.3772349446348713,1999-01-01
Jupiter (roller coaster),Kijima Kogen,Intamin,Wood,1992,33.2617,131.4281,56,137,0,3.9733377641936265,1992-01-01
Kingdom Coaster,Dutch Wonderland,Custom Coasters International,Wood,1992,40.0295,-76.2173,40,74,0,3.1821824664104774,1992-05-16
Pepsi Orange Streak,Nickelodeon Universe,Zierer,Steel,1992,38.69884415091096,-43.454657889584496,40,74,0,3.2156633207295826,1992-08-11
Pipeline Express,Boardwalk Fun Park,"Bailey Rides, Inc.",Steel,1992,32.761,-96.997,15,6,0,2.3037202537668335,1992-07-23
The Rattler (roller coaster),Six Flags Fiesta Texas,Rocky Mountain Construction,Steel,1992,37.883555495696086,-41.219690505446465,70,155,1,4.314126371607209,2013-05-25
Runaway Mine Train (Alton Towers),Alton Towers,Mack Rides,Steel,1992,52.9897,-1.8856,22,27,0,2.4,1992-03-21
Sierra Tonante,Mirabilandia,S.D.C.,Wood,1992,44.3361,12.2619,62,134,0,4.0,1992-01-01
Streamliner Coaster,Six Flags Fiesta Texas,Vekoma,Steel,1992,29.5965,-98.6099,46,92,0,3.33116177236802,1992-03-14
Vortex (Carowinds),Carowinds,Bolliger & Mabillard,Steel,1992,35.1036,-80.9416,50,100,2,3.7146717784488246,1992-03-14
Batman The Escape,Other,Intamin,Steel,1993,38.25694004812185,-41.858904251359604,55,114,1,3.4,1999-01-01
Bocaraca,Other,Vekoma,Steel,1993,38.674737636845514,-41.97317451604022,37,67,2,3.351835777351411,1999-01-01
Canyon Blaster (Adventuredome),Adventuredome,Arrow Dynamics,Steel,1993,36.1381,-115.1664,41,76,4,3.5,1993-08-23
Cosmic Coaster (Worlds of Fun),Worlds of Fun,Preston & Barbieri,Steel,1993,39.1723,-94.4889,46,91,0,3.3574908291234706,1993-04-03
Flight Deck (California's Great America),California's Great America,Bolliger & Mabillard,Steel,1993,37.3981,-121.9718,50,101,3,4.5,1993-03-20
Gadget's Go Coaster,Other,Vekoma,Steel,1993,39.14160779013012,-43.978359439114456,21,25,0,2.606656872770973,1999-01-01
Hundeprutterutchebane,BonBon-Land,Zierer,Steel,1993,55.2599,11.8639,18,14,0,2.6442480318442207,1993-01-01
Indiana Jones et le Temple du Péril,Disneyland Park (Paris),Intamin,Steel,1993,38.73781017922107,-42.6149364822212,36,63,1,3.191776883206156,1993-07-30
Kumba (roller coaster),Busch Gardens Tampa Bay,Bolliger & Mabillard,Steel,1993,28.0397,-82.4231,60,127,7,3.8,1993-04-20
Lightning Bolt (roller coaster),MGM Grand Adventures Theme Park,Intamin,Other,1993,38.793019835399704,-43.24004473323191,35,61,0,3.0415270917445127,1993-01-01
Outlaw (roller coaster),Adventureland (Iowa),Custom Coasters International,Wood,1993,41.6491,-93.5006,48,95,0,3.2,1993-04-24
Superman: Krypton Coaster (Six Flags Mexico),Other,Vekoma,Steel,1993,38.493541803673224,-42.59959919639891,46,91,0,3.414108332218742,1999-01-01
Thunderation,Silver Dollar City,Arrow Dynamics,Steel,1993,36.6684,-93.3379,48,95,0,3.396447249068764,1993-04-10
Top Gun (Kings Island),Kings Island,Arrow Dynamics,Steel,1993,39.3476,-84.2652,51,103,0,2.9,1993-04-09
The Comet (Great Escape),Great Escape,Philadelphia Toboggan Coasters,Wood,1994,43.3514,-73.6851,55,115,0,3.670131189713082,1948-01-01
Condor (roller coaster),Walibi Holland,Vekoma,Steel,1994,52.4404,5.7615,49,101,5,4.5,1994-05-01
